,name,count,prob,sex
696,OSSIE,7.0,1.0,male
697,ELLSWORTH,6.0,1.0,male
698,DENESE,5.0,1.0,female
699,LAKITA,1.0,1.0,female
700,MARISOL,416.0,1.0,female
701,MARIAH,136.0,0.99,female
702,XUAN,29.0,0.59,female
703,EDMUND,129.0,1.0,male
704,HERMILA,0.0,0.0,None
705,ARDELLE,2.0,1.0,female
706,BOBBY,745.0,0.96,male
707,ISAIAH,69.0,1.0,male
708,MARA,340.0,0.96,female
709,ERIN,2097.0,0.99,female
710,STEPHENIE,29.0,1.0,female
711,DONNELL,20.0,0.65,male
712,ANTONIO,2290.0,1.0,male
713,TULA,3.0,0.67,female
714,DEEANN,14.0,1.0,female
715,JOLENE,156.0,1.0,female
716,DAN,3240.0,0.98,male
717,DAVID,12597.0,1.0,male
718,CARLEE,49.0,1.0,female
719,JACK,1993.0,0.99,male
720,SONYA,296.0,1.0,female
721,SID,71.0,0.92,male
722,TABETHA,10.0,1.0,female
723,LEA,513.0,0.97,female
724,LORI,1294.0,1.0,female
725,KENNETH,1020.0,1.0,male
726,HUNG,70.0,0.8,male
727,YAHAIRA,32.0,1.0,female
728,LAUREL,166.0,1.0,female
729,ISIDRO,47.0,1.0,male
730,LOGAN,393.0,0.82,male
731,SHERMAN,37.0,0.95,male
732,BRICE,108.0,1.0,male
733,OLLIE,101.0,0.91,male
734,AMADO,15.0,1.0,male
735,TASHINA,1.0,1.0,female
736,MILTON,168.0,1.0,male
737,EDWARDO,3.0,1.0,male
738,IRWIN,20.0,1.0,male
739,GARY,2132.0,1.0,male
740,JAVIER,1975.0,1.0,male
741,FLORENTINO,8.0,1.0,male
742,AUGUST,66.0,0.88,male
743,FORREST,54.0,0.98,male
744,DARIUS,109.0,0.98,male
745,CINDIE,13.0,1.0,female
746,WILLENE,1.0,1.0,female
747,ERICKA,187.0,1.0,female
748,RIVKA,13.0,1.0,female
749,HANS,431.0,0.99,male
750,CALEB,354.0,0.99,male
751,MAX,1140.0,0.98,male
752,RUDOLF,63.0,0.97,male
753,BRIAN,4600.0,1.0,male
754,CLEMENTINA,12.0,1.0,female
755,AL,563.0,0.94,male
756,REGGIE,96.0,0.96,male
757,MICHEAL,168.0,0.98,male
758,LUIGI,429.0,1.0,male
759,KEENA,15.0,1.0,female
760,SIXTA,3.0,1.0,female
761,LEANN,85.0,1.0,female
762,MERCEDES,429.0,1.0,female
763,GERMAN,405.0,1.0,male
764,LINO,83.0,0.99,male
765,ALTON,23.0,1.0,male
766,TYLER,1497.0,0.98,male
767,DWAYNE,186.0,0.99,male
768,CHARLEY,59.0,0.68,male
769,CLARIBEL,25.0,1.0,female
770,JERMAINE,80.0,0.98,male
771,LUIS,4053.0,1.0,male
772,IKE,61.0,0.84,male
773,MITCHELL,345.0,0.99,male
